PK_COD_ENTIDADE,NO_ENTIDADE,MAT_CRECHE,MAT_PRE,MAT_FUND,MAT_MEDIO
33064717,COL PINHEIRO GUIMARAES,0,0,0,65
33064768,COLEGIO SAGRADO CORACAO DE MARIA,124,153,600,135
33064776,COL SAO PAULO,35,35,276,96
33064792,CE CASTELNUOVO,0,0,0,71
33064865,COLEGIO GUIDO DE FONTGALLAND,0,24,155,0
33064873,BEM VIVER CRECHE E PRE-ESCOLA,111,55,0,0
33064903,0205009 ESCOLA MUNICIPAL ALENCASTRO GUIMARAES,0,0,321,0
33064911,0206004 ESCOLA MUNICIPAL CASTELNUOVO,0,0,607,0
33064946,0205006 ESCOLA MUNICIPAL DOM AQUINO CORREA,0,0,168,0
33064954,0205003 ESCOLA MUNICIPAL DOUTOR CICERO PENNA,0,114,347,0
33064962,0205004 ESCOLA MUNICIPAL DOUTOR COCIO BARCELLOS,0,75,491,0
33064970,0204018 ESCOLA MUNICIPAL ESTACIO DE SA,0,0,491,0
33064989,0204803 EDI GABRIELA MISTRAL,22,138,0,0
33064997,0204019 ESCOLA MUNICIPAL MINAS GERAIS,0,0,728,0
33065004,0205007 ESCOLA MUNICIPAL PENEDO,0,47,220,0
33065012,0205802 EDI PORTO RICO,24,80,0,0
33065020,0205008 ESCOLA MUNICIPAL ROMA,0,0,682,0
33065039,0205001 ESCOLA MUNICIPAL SAO TOMAS DE AQUINO,0,96,381,0
33065055,EXTERNATO SANTO ANTONIO,0,13,160,0
33065071,INST STA FILOMENA,28,19,0,0
33065128,JD ESC CAMINHANDO,28,22,0,0
33065144,ATCHIM JD ESC LTDA,41,13,3,0
33065152,0206501 CIEP PRESIDENTE JOAO GOULART,0,41,149,0
33065187,CENTRO EDUCACIONAL DA LAGOA,58,44,72,0
33065195,CENTRO EDUCACIONAL DA LAGOA,0,0,76,52
33065217,CE PROFESSOR ANTONIO MARIA TEIXEIRA FILHO,0,0,0,529
33065225,0206502 CIEP NACAO RUBRO NEGRA,0,75,434,0
33065250,COL DE APLIC DA UNIV FED DO RIO DE JANEIRO,0,0,491,266
33065268,COLEGIO DIVINA PROVIDENCIA,14,25,177,79
33065276,CE ANDRE MAUROIS,0,0,0,2062
33065284,CE IGNACIO AZEVEDO DO AMARAL,0,0,0,742
33065292,CE MANUEL BANDEIRA,0,0,10,0
33065314,COL NOTRE DAME - IPANEMA,141,194,822,247
33065357,COLEGIO PINHEIRO GUIMARAES LTDA,0,0,0,56
33065365,ESCOLA NOVA GAVEA,0,0,613,159
33065403,COLEGIO SANTO AGOSTINHO,0,0,1678,462
33065411,COL TERESIANO,14,15,348,145
33065543,ESCOLA AMERICANA DO RIO DE JANEIRO,0,99,250,95
33065551,0206014 ESCOLA MUNICIPAL MARLY FROES PEIXOTO,0,0,41,0
33065560,ESPACO EDUCACAO SA,132,50,63,0
33065586,ESC JOCKEY CLUB BRASILEIRO,0,0,397,0
33065594,ESCOLA MATER,22,36,171,66
33065608,0206021 ESCOLA MUNICIPAL ALMIRANTE TAMANDARE,0,0,501,0
33065616,0206017 ESCOLA MUNICIPAL ARTUR RAMOS,0,82,179,0
33065624,0206012 ESCOLA MUNICIPAL CAMILO CASTELO BRANCO,0,0,472,0
33065632,0206010 ESCOLA MUNICIPAL CAPISTRANO DE ABREU,0,0,173,0
33065640,0206006 ESCOLA MUNICIPAL SANTOS ANJOS,0,89,280,0
33065659,0206019 ESCOLA MUNICIPAL CHRISTIANO HAMANN,0,0,391,0
33065667,0206020 ESCOLA MUNICIPAL DESEMBARGADOR OSCAR TENORIO,0,0,665,0
33065675,0206007 ESCOLA MUNICIPAL EDNA PONCIONI FERREIRA,0,57,151,0
33065683,0206005 ESCOLA MUNICIPAL GEORGE PFISTERER,0,0,1030,0
33065691,0206002 ESCOLA MUNICIPAL HENRIQUE DODSWORTH,0,0,363,0
33065705,0206802 EDI JULIA KUBITSCHEK,0,97,0,0
33065713,0206016 ESCOLA MUNICIPAL JULIO DE CASTILHOS,0,50,310,0
33065721,0206022 ESCOLA MUNICIPAL LUCIA MIGUEL PEREIRA,0,0,598,0
33065730,0206018 ESCOLA MUNICIPAL LUIZ DELFINO,0,0,267,0
33065748,0206015 ESCOLA MUNICIPAL MANOEL CICERO,0,0,488,0
33065756,0206003 ESCOLA MUNICIPAL MARILIA DE DIRCEU,0,0,435,0
33065772,0227002 ESCOLA MUNICIPAL FRANCISCO DE PAULA BRITO,0,0,681,0
33065780,0206008 ESCOLA MUNICIPAL PEDRO ERNESTO,0,0,314,0
33065799,0206001 ESCOLA MUNICIPAL PRESIDENTE JOSE LINHARES,0,145,160,0
33065802,0206801 EDI RUBEM BRAGA,17,127,0,0
33065810,0206011 ESCOLA MUNICIPAL SHAKESPEARE,0,24,313,0
33065829,ESC PARAISO INFANTIL POPEYE LTDA,47,46,0,0
33065837,ESCOLA PARQUE,129,167,925,317
33065888,CENTRO POP DE EDUC E DE ASSIST SOCIAL STELLA MARIS,21,135,782,0
33065900,INSTITUTO NOSSA SENHORA DE LOURDES,0,12,246,0
33065950,JD ESC PATOTINHA,32,15,0,0
33065969,JARDIM ESCOLA STOCKLER,46,35,0,0
33065985,0107802 EDI MORRO DOS TELEGRAFOS,50,233,0,0
33065993,COLEGIO BRASILEIRO SAO CHRISTOVAO,54,112,652,89
33066019,COL CATORZE DE NOVEMBRO,0,27,341,65
33066027,CE NILO PECANHA,0,0,0,161
33066035,CE OLAVO BILAC,0,0,0,1235
33066043,CE PROFESSOR ERNESTO FARIA,0,0,0,510
33066060,CPII - CAMPUS SAO CRISTOVAO II,0,0,970,0
33066078,CPII - CAMPUS SAO CRISTOVAO I,0,0,940,0
33066094,EDUCANDARIO GONCALVES DE ARAUJO,0,0,155,0
33066108,EDUCANDARIO GONCALVES DE ARAUJO,0,0,287,0
33066124,CE ANACLETO DE MEDEIROS,0,0,0,0
33066140,CE GONCALVES DIAS,0,0,0,287
33066191,ESC MADRE NAZARENA MAJONE,45,87,97,0
33066205,0107013 ESCOLA MUNICIPAL ALICE DO AMARAL PEIXOTO,0,50,724,0
33066213,0312811 EDI BRICIO FILHO,22,184,0,0
33066221,0107011 ESCOLA MUNICIPAL CARDEAL LEME,0,0,911,0
33066230,0107803 EDI DOIS DE JULHO,50,260,0,0
33066248,0107501 ESCOLA MUNICIPAL EDMUNDO BITTENCOURT,0,0,256,0
33066256,0107004 ESCOLA MUNICIPAL FLORIANO PEIXOTO,0,93,376,0
33066264,0107001 ESCOLA MUNICIPAL GONCALVES DIAS,0,0,531,0
33066272,0107012 ESCOLA MUNICIPAL GONZAGA DA GAMA FILHO,0,70,803,0
33066280,0107007 ESCOLA MUNICIPAL HUMBERTO DE CAMPOS,0,49,87,0
33066299,0107005 ESCOLA MUNICIPAL JOAO DE CAMARGO,0,121,590,0
33066302,0107008 ESCOLA MUNICIPAL JOSE MOREIRA DA SILVA,0,50,164,0
33066310,0107006 ESCOLA MUNICIPAL MARECHAL TROMPOWSKY,0,95,350,0
33066329,0107502 ESCOLA MUNICIPAL MESTRE WALDEMIRO,0,74,352,0
33066337,0107002 ESCOLA MUNICIPAL NILO PECANHA,0,0,376,0
33066345,0107003 ESCOLA MUNICIPAL PORTUGAL,0,74,436,0
33066353,0107009 ESCOLA MUNICIPAL URUGUAI,0,0,543,0
33066400,0208804 EDI CHACARA DO CEU,0,41,0,0
33066434,0208803 EDI BOREL,0,74,0,0
33066442,CASA DE JACIRA,24,44,0,0
33066477,COLEGIO ADVENTISTA DA TIJUCA,25,95,786,263
33066507,0208502 CIEP DOUTOR ANTOINE MAGARINOS TORRES FILHO,0,74,328,0
33066515,0208501 CIEP SAMUEL WAINER,0,34,189,0
33066523,INSTITUTO DE APLICACAO FERNANDO RODRIGUES DA SILVEIRA CAP-UERJ,0,0,704,260
33066540,COL BATISTA SHEPARD,62,138,642,142
33066566,COL DA COMP DE STA TERESA DE JESUS,23,74,426,77
33066574,COL DOS SANTOS ANJOS,61,61,463,76
33066590,CE ANTONIO PRADO JUNIOR,0,0,0,1559
33066612,CE PROFESSOR CLOVIS SALGADO,0,0,0,334
33066620,CE SOARES PEREIRA,0,0,0,123
33066671,COLEGIO MARIA RAYTHE - ASSOCIACAO FRANCISCANA NOSSA SENHORA DO AMPARO,53,109,677,106
33066698,COLEGIO MARISTA SAO JOSE,24,110,1153,153
33066728,COLEGIO REDE MV1,0,0,236,54
33066744,COL PALAS FILIAL 01,0,0,246,0
33066752,COLEGIO PALAS,0,0,60,181
33066787,COL PALAS MATRIZ,0,0,254,0
33066809,COL STA MARCELINA,2,13,360,67
33066930,ESCOLA DE EDUCACAO BASICA E PROFISSIONAL FUNDACAO BRADESCO,0,117,1365,466
33066965,0208008 ESCOLA MUNICIPAL ALMIRANTE BARROSO,0,159,312,0
33066973,0208017 ESCOLA MUNICIPAL ARAUJO PORTO ALEGRE,0,0,305,0
33066981,0208007 ESCOLA MUNICIPAL BARAO DE ITACURUSSA,0,43,488,0
33066990,0209001 ESCOLA MUNICIPAL BENEDITO OTTONI,0,0,305,0
33067007,0208005 ESCOLA MUNICIPAL BOMBEIRO GERALDO DIAS,0,60,99,0
33067015,0208802 EDI DR MARCELO CANDIA,0,60,0,0
33067023,0208022 ESCOLA MUNICIPAL MATA MACHADO,0,0,178,0
33067031,0209004 ESCOLA MUNICIPAL CONSELHEIRO MAYRINK,0,69,206,0
33067040,0208020 ESCOLA MUNICIPAL DIOGO FEIJO,0,44,103,0
33067058,0208004 ESCOLA MUNICIPAL FRANCISCO CABRITA,0,0,438,0
33067066,0208014 ESCOLA MUNICIPAL FREI CASSIANO,0,98,260,0
33067074,0208009 ESCOLA MUNICIPAL GENERAL EUCLYDES DE FIGUEIREDO,0,0,358,0
33067090,0209801 EDI BARBARA OTTONI,43,194,0,0
33067104,0209802 EDI ANIBAL MACHADO,25,195,0,0
33067112,0208011 ESCOLA MUNICIPAL JORNALISTA BRITO BROCA,0,48,205,0
33067120,0208805 EDI JOSE DA SILVA ARAUJO,0,112,0,0
33067139,0208003 ESCOLA MUNICIPAL LAUDIMIA TROTTA,0,0,252,0
33067147,0208023 ESCOLA MUNICIPAL MARC FERREZ,0,0,281,0
33067155,0208013 ESCOLA MUNICIPAL MARIO DA VEIGA CABRAL,0,44,172,0
33067163,0208021 ESCOLA MUNICIPAL MARIO FACCINI,0,44,116,0
33067171,0208018 ESCOLA MUNICIPAL MENEZES VIEIRA,0,0,157,0
33067180,0208012 ESCOLA MUNICIPAL ORSINA DA FONSECA,0,0,443,0
33067198,0208006 ESCOLA MUNICIPAL PRUDENTE DE MORAES,0,93,378,0
33067201,0208010 ESCOLA MUNICIPAL SOARES PEREIRA,0,0,487,0
33067228,ESCOLA TECNICA ESTADUAL FERREIRA VIANA,0,0,0,708
33067236,INST AGOSTINHO MOREIRA,91,37,134,13
33067244,INST BRAGA CARNEIRO LTDA,31,34,159,37
33067252,INSTITUTO SUPERIOR DE EDUCACAO DO RIO DE JANEIRO,48,104,774,706
33067279,INST NS AUXILIADORA,12,32,182,40
33067376,JD ESC ELZA CAMPOS LTDA,6,13,110,28
33067392,JD ESC ESQUILINHO AMIGO,32,44,0,0
33067449,JD ESC MUNDO INFANTIL LTDA,34,54,102,0
33067511,GRUPO EDUCACIONAL MOPI LTDA - UNIDADE INFANTIL - TIJUCA,68,93,298,0
33067570,TRAMPOLIM EDUC INFANTIL BILINGUE,60,46,0,0
33067589,SOC EDUC CASTELO AZUL,29,26,45,0
33067643,CEFET-RJ - UNIDADE MARACANA,0,0,0,2134
33067660,CRECHE ESC A TURMA DO BABY LTDA,0,23,0,0
33067678,CEJA SENAI,0,0,0,0
33067686,0209501 CIEP PRESIDENTE SALVADOR ALLENDE,0,75,210,0
33067694,COL 1º DE MAIO,0,0,77,211
33067716,COL BARAO DE LUCENA,0,7,217,101
33067732,COL DA COMPANHIA DE MARIA,55,74,330,67
33067783,CE FRANCISCO CAMPOS,0,0,0,215
33067791,CE JOAO ALFREDO,0,0,0,1188
33067813,COLEGIO PENSI MARTINS - VILA ISABEL,0,0,233,132
33067821,COLEGIO MARTINSINHO VILA ISABEL,0,38,259,0
33067830,INSTITUTO GUANABARA E COLEGIO ITAMARATI,0,0,153,83
33067856,COL MV1 ANDERSON,0,0,191,222
33067864,COLEGIO NOSSA SENHORA DA MISERICORDIA,92,78,246,68
33067872,CPII - CAMPUS TIJUCA I,0,0,488,0
33067880,CPII - CAMPUS TIJUCA II,0,0,518,552
33067929,COL SANTOS DUMONT,14,34,166,31
33067937,COLEGIO TTHBAR-ILAN,7,0,0,0
33067996,ECO ESC DE ED COMUNITARIA,0,0,251,41
33068011,CE AFONSO PENA,0,0,0,190
33068178,ESCOLA GRUMETE,22,39,127,0
33068208,0209016 ESCOLA MUNICIPAL AFFONSO PENNA,0,0,580,0
33068216,0209019 ESCOLA MUNICIPAL AFRANIO PEIXOTO,0,0,138,0
33068224,0209017 ESCOLA MUNICIPAL BAPTISTA PEREIRA,0,80,208,0
33068232,0209005 ESCOLA MUNICIPAL BARAO HOMEM DE MELLO,0,0,252,0
33068240,0209024 ESCOLA MUNICIPAL DUQUE DE CAXIAS,0,47,234,0
33068259,0209020 ESCOLA MUNICIPAL EPITACIO PESSOA,0,0,193,0
33068267,0209010 ESCOLA MUNICIPAL EQUADOR,0,120,628,0
33068275,0209025 ESCOLA MUNICIPAL FRANCISCO CAMPOS,0,172,1028,0
33068283,0209013 ESCOLA MUNICIPAL FRANCISCO MANUEL,0,0,364,0
33068291,0209006 ESCOLA MUNICIPAL FRIEDENREICH,0,48,307,0
33068305,0209014 ESCOLA MUNICIPAL GENERAL HUMBERTO DE SOUZA MELLO,0,96,438,0
33068313,0209007 ESCOLA MUNICIPAL JORNALISTA ASSIS CHATEAUBRIAND,0,0,345,0
33068321,0208016 ESCOLA MUNICIPAL LEITAO DA CUNHA,0,34,200,0
33068330,0209008 ESCOLA MUNICIPAL MADRID,0,0,315,0
33068348,0209012 ESCOLA MUNICIPAL MARIO DE ANDRADE,0,73,279,0
33068356,0209011 ESCOLA MUNICIPAL NOEL ROSA,0,98,345,0
33068364,0209023 ESCOLA MUNICIPAL PANAMA,0,91,565,0
33068372,0209021 ESCOLA MUNICIPAL PRESIDENTE JOAO GOULART,0,42,509,0
33068380,0209026 ESCOLA MUNICIPAL PROFESSOR LOURENCO FILHO,0,0,297,0
33068399,0209009 ESCOLA MUNICIPAL REPUBLICA ARGENTINA,0,50,302,0
33068402,0209018 ESCOLA MUNICIPAL RODRIGO MELLO FRANCO ANDRADE,0,0,447,0
33068410,COLEGIO RESSURREICAO - UNIDADE TIJUCA,13,40,161,0
33068470,ESC REIZINHO LTDA,8,21,51,0
33068488,IFRJ - CAMPUS RIO DE JANEIRO,0,0,0,1002
33068496,0209003 ESCOLA MUNICIPAL FRANCISCO DE CASTRO,0,0,67,0
33068526,0209610 CRECHE MUNICIPAL FRANCISCO DE PAULA,243,0,0,0
33068534,COL NS DE LOURDES,52,30,184,0
33068542,GRUPO DE EDUCACAO INTEGRADA,36,103,181,0
33068593,JARDIM ESCOLA CISNE BRANCO,2,27,72,0
33068640,JD ESC ROSA ALVES MOREIRA,17,31,62,0
33068674,MEIMEI - ESCOLA MONTESSORIANA LTDA,13,25,144,32
33068704,ARTE JD SININHO,20,16,61,0
33068712,C C ELIANA SATURNINO BRAGA,104,0,0,0
33068720,0430503 CIEP LEONEL DE MOURA BRIZOLA,0,0,511,0
33068739,0430502 CIEP ELIS REGINA,0,76,314,0
33068747,0430206 CIEP HELIO SMIDT,0,0,530,0
33068755,0410202 CIEP YURI GAGARIN,0,207,933,0
33068763,0410502 CIEP MAESTRO FRANCISCO MIGNONE,0,0,396,0
33068771,0430201 CIEP MINISTRO GUSTAVO CAPANEMA,0,0,557,0
33068780,0430204 CIEP OPERARIO VICENTE MARIANO,0,0,563,0
33068798,0410501 CIEP JUSCELINO KUBITSCHEK,0,0,728,0
33068801,0430501 CIEP PRESIDENTE SAMORA MACHEL,0,0,369,0
33068844,CE BAHIA,0,0,0,642
33068852,CE PROFESSOR CLOVIS MONTEIRO,0,0,0,1205
33068895,COL HERMANN,0,0,108,77
33068925,COLEGIO CELC,0,0,406,441
33069026,CE RUY BARBOSA,0,0,0,269
33069034,CE TENENTE GENERAL NAPION,0,0,0,424
33069077,ESC LINEAR,0,15,114,0
33069093,0410002 ESCOLA MUNICIPAL ALBINO SOUZA CRUZ,0,50,420,0
33069107,0312002 ESCOLA MUNICIPAL ALCIDE DE GASPERI,0,0,822,0
33069115,0410025 ESCOLA MUNICIPAL ANIBAL FREIRE,0,0,319,0
33069123,0430813 EDI ARMANDO DE SALLES OLIVEIRA,99,349,0,0
33069131,0430003 ESCOLA MUNICIPAL BAHIA,0,0,494,0
33069140,0410018 ESCOLA MUNICIPAL BERLIM,0,0,522,0
33069158,0410021 ESCOLA MUNICIPAL BRASIL,0,0,888,0
33069166,0410013 ESCOLA MUNICIPAL CARLOS CHAGAS,0,74,486,0
33069174,0410016 ESCOLA MUNICIPAL CHILE,0,0,295,0
33069182,0410012 ESCOLA MUNICIPAL CLOTILDE GUIMARAES,0,0,317,0
33069190,0410015 ESCOLA MUNICIPAL CLOVIS BEVILAQUA,0,0,445,0
33069204,0410812 EDI CORONEL ASSUNCAO,25,185,0,0
33069212,0312005 ESCOLA MUNICIPAL D JOAO VI,0,25,449,0
33069220,0410009 ESCOLA MUNICIPAL DILERMANDO CRUZ,0,0,1182,0
33069239,0410011 ESCOLA MUNICIPAL EDMUNDO LINS,0,0,301,0
33069247,0410001 ESCOLA MUNICIPAL EMA NEGRAO DE LIMA,0,0,392,0
33069255,0312004 ESCOLA MUNICIPAL ESTADO DA GUANABARA,0,0,806,0
33069263,0430004 ESCOLA MUNICIPAL IV CENTENARIO,0,0,379,0
33069271,0410005 ESCOLA MUNICIPAL JOAO BARBALHO,0,0,705,0
33069280,0410020 ESCOLA MUNICIPAL JORACY CAMARGO,0,0,616,0
33069298,0410811 ESCOLA MUNICIPAL LAIS NETTO DOS REIS,23,93,0,0
33069301,0410023 ESCOLA MUNICIPAL LUIZ CESAR SAYAO GARCEZ,0,0,776,0
33069310,0312006 ESCOLA MUNICIPAL MINISTRO OROSIMBO NONATO,0,0,789,0
33069328,0410010 ESCOLA MUNICIPAL NERVAL DE GOUVEIA,0,0,889,0
33069336,0410022 ESCOLA MUNICIPAL ODILON DE ANDRADE,0,0,723,0
33069344,0312003 ESCOLA MUNICIPAL ORDEM E PROGRESSO,0,71,194,0
33069352,0312001 ESCOLA MUNICIPAL OSWALDO CRUZ,0,47,580,0
33069360,0410007 ESCOLA MUNICIPAL PADRE MANUEL DA NOBREGA,0,0,503,0
33069379,0410004 ESCOLA MUNICIPAL PEDRO LESSA,0,123,856,0
33069387,0410806 EDI PIERRE JANET,32,232,0,0
33069395,0410026 ESCOLA MUNICIPAL PROFESSORA MARIA DE CERQUEIRA E SILVA,0,38,697,0
